properties{
  x = 0,
  y = 0,
  width = 640,
  height = 240,
  min_layer = 0,
  max_layer = 2,
  world = "dungeon_2",
  floor = 0,
  tileset = "sideview/sidetile",
  music = "same",
}

tile{
  layer = 0,
  x = 176,
  y = 48,
  width = 160,
  height = 64,
  pattern = "87",
  tileset = "sideview/sidetile",
}

tile{
  layer = 0,
  x = 168,
  y = 64,
  width = 8,
  height = 64,
  pattern = "91",
  tileset = "sideview/sidetile",
}

tile{
  layer = 0,
  x = 336,
  y = 128,
  width = 8,
  height = 48,
  pattern = "92",
  tileset = "sideview/sidetile",
}

tile{
  layer = 0,
  x = 184,
  y = 160,
  width = 16,
  height = 16,
  pattern = "87",
  tileset = "sideview/sidetile",
}

tile{
  layer = 0,
  x = 208,
  y = 128,
  width = 96,
  height = 16,
  pattern = "87",
  tileset = "sideview/sidetile",
}

tile{
  layer = 0,
  x = 320,
  y = 144,
  width = 16,
  height = 16,
  pattern = "87",
  tileset = "sideview/sidetile",
}

tile{
  layer = 0,
  x = 208,
  y = 144,
  width = 96,
  height = 16,
  pattern = "87",
  tileset = "sideview/sidetile",
}

tile{
  layer = 0,
  x = 224,
  y = 160,
  width = 16,
  height = 16,
  pattern = "87",
  tileset = "sideview/sidetile",
}

tile{
  layer = 0,
  x = 240,
  y = 160,
  width = 96,
  height = 16,
  pattern = "87",
  tileset = "sideview/sidetile",
}

tile{
  layer = 0,
  x = 320,
  y = 176,
  width = 16,
  height = 16,
  pattern = "87",
  tileset = "sideview/sidetile",
}

tile{
  layer = 0,
  x = 208,
  y = 176,
  width = 96,
  height = 16,
  pattern = "87",
  tileset = "sideview/sidetile",
}

tile{
  layer = 0,
  x = 176,
  y = 112,
  width = 112,
  height = 16,
  pattern = "87",
  tileset = "sideview/sidetile",
}

tile{
  layer = 0,
  x = 360,
  y = 64,
  width = 64,
  height = 128,
  pattern = "87",
  tileset = "sideview/sidetile",
}

tile{
  layer = 0,
  x = 200,
  y = 128,
  width = 8,
  height = 32,
  pattern = "91",
}

tile{
  layer = 0,
  x = 288,
  y = 112,
  width = 8,
  height = 16,
  pattern = "92",
}

tile{
  layer = 0,
  x = 216,
  y = 160,
  width = 8,
  height = 16,
  pattern = "91",
}

tile{
  layer = 0,
  x = 304,
  y = 128,
  width = 8,
  height = 32,
  pattern = "92",
}

tile{
  layer = 0,
  x = 352,
  y = 80,
  width = 8,
  height = 96,
  pattern = "91",
}

tile{
  layer = 0,
  x = 304,
  y = 112,
  width = 8,
  height = 16,
  pattern = "91",
}

tile{
  layer = 0,
  x = 328,
  y = 112,
  width = 8,
  height = 16,
  pattern = "92",
}

tile{
  layer = 0,
  x = 336,
  y = 80,
  width = 8,
  height = 32,
  pattern = "92",
}

tile{
  layer = 0,
  x = 424,
  y = 96,
  width = 8,
  height = 96,
  pattern = "92",
}

tile{
  layer = 0,
  x = 328,
  y = 128,
  width = 8,
  height = 16,
  pattern = "91",
  tileset = "sideview/sidetile",
}

tile{
  layer = 0,
  x = 216,
  y = 128,
  width = 32,
  height = 32,
  pattern = "94",
}

tile{
  layer = 0,
  x = 384,
  y = 128,
  width = 32,
  height = 32,
  pattern = "94",
}

tile{
  layer = 0,
  x = 312,
  y = 112,
  width = 16,
  height = 16,
  pattern = "87",
}

tile{
  layer = 0,
  x = 176,
  y = 160,
  width = 8,
  height = 16,
  pattern = "91",
  tileset = "sideview/sidetile",
}

tile{
  layer = 0,
  x = 8,
  y = 16,
  width = 32,
  height = 8,
  pattern = "134",
  tileset = "sideview/sidetile",
}

tile{
  layer = 0,
  x = 8,
  y = 24,
  width = 32,
  height = 8,
  pattern = "133",
  tileset = "sideview/sidetile",
}

tile{
  layer = 0,
  x = 8,
  y = 48,
  width = 32,
  height = 32,
  pattern = "93",
  tileset = "sideview/sidetile",
}

tile{
  layer = 0,
  x = 8,
  y = 136,
  width = 32,
  height = 8,
  pattern = "131",
  tileset = "sideview/sidetile",
}

tile{
  layer = 0,
  x = 8,
  y = 32,
  width = 32,
  height = 16,
  pattern = "132",
  tileset = "sideview/sidetile",
}

tile{
  layer = 0,
  x = 8,
  y = 80,
  width = 32,
  height = 56,
  pattern = "132",
  tileset = "sideview/sidetile",
}

tile{
  layer = 0,
  x = 0,
  y = 144,
  width = 16,
  height = 16,
  pattern = "88",
  tileset = "sideview/sidetile",
}

tile{
  layer = 0,
  x = 16,
  y = 144,
  width = 80,
  height = 16,
  pattern = "89",
  tileset = "sideview/sidetile",
}

tile{
  layer = 0,
  x = 96,
  y = 144,
  width = 16,
  height = 16,
  pattern = "90",
  tileset = "sideview/sidetile",
}

tile{
  layer = 0,
  x = 96,
  y = 160,
  width = 16,
  height = 16,
  pattern = "43",
  tileset = "sideview/sidetile",
}

tile{
  layer = 0,
  x = 16,
  y = 160,
  width = 80,
  height = 16,
  pattern = "42",
  tileset = "sideview/sidetile",
}

tile{
  layer = 0,
  x = 0,
  y = 160,
  width = 16,
  height = 16,
  pattern = "41",
  tileset = "sideview/sidetile",
}

tile{
  layer = 0,
  x = 576,
  y = 144,
  width = 16,
  height = 16,
  pattern = "88",
  tileset = "sideview/sidetile",
}

tile{
  layer = 0,
  x = 592,
  y = 144,
  width = 32,
  height = 16,
  pattern = "89",
  tileset = "sideview/sidetile",
}

tile{
  layer = 0,
  x = 624,
  y = 144,
  width = 16,
  height = 16,
  pattern = "90",
  tileset = "sideview/sidetile",
}

tile{
  layer = 0,
  x = 176,
  y = 176,
  width = 16,
  height = 16,
  pattern = "88",
  tileset = "sideview/sidetile",
}

tile{
  layer = 0,
  x = 192,
  y = 176,
  width = 48,
  height = 16,
  pattern = "89",
  tileset = "sideview/sidetile",
}

tile{
  layer = 0,
  x = 240,
  y = 176,
  width = 16,
  height = 16,
  pattern = "90",
  tileset = "sideview/sidetile",
}

tile{
  layer = 0,
  x = 272,
  y = 176,
  width = 16,
  height = 16,
  pattern = "88",
  tileset = "sideview/sidetile",
}

tile{
  layer = 0,
  x = 288,
  y = 176,
  width = 80,
  height = 16,
  pattern = "89",
  tileset = "sideview/sidetile",
}

tile{
  layer = 0,
  x = 368,
  y = 176,
  width = 16,
  height = 16,
  pattern = "90",
