properties{
  x = 0,
  y = 0,
  width = 640,
  height = 256,
  min_layer = 0,
  max_layer = 2,
  tileset = "dungeons/sideview",
  music = "same",
}

tile{
  layer = 0,
  x = 0,
  y = 208,
  width = 640,
  height = 16,
  pattern = "40",
}

tile{
  layer = 0,
  x = 0,
  y = 224,
  width = 640,
  height = 32,
  pattern = "42",
}

tile{
  layer = 0,
  x = 0,
  y = 160,
  width = 16,
  height = 16,
  pattern = "48",
}

tile{
  layer = 0,
  x = 16,
  y = 144,
  width = 16,
  height = 16,
  pattern = "48",
}

tile{
  layer = 0,
  x = 16,
  y = 128,
  width = 16,
  height = 16,
  pattern = "43",
}

tile{
  layer = 0,
  x = 0,
  y = 0,
  width = 16,
  height = 160,
  pattern = "42",
}

tile{
  layer = 0,
  x = 32,
  y = 112,
  width = 16,
  height = 16,
  pattern = "48",
}

tile{
  layer = 0,
  x = 32,
  y = 80,
  width = 16,
  height = 32,
  pattern = "43",
}

tile{
  layer = 0,
  x = 48,
  y = 64,
  width = 16,
  height = 16,
  pattern = "48",
}

tile{
  layer = 0,
  x = 64,
  y = 64,
  width = 16,
  height = 8,
  pattern = "45",
}

tile{
  layer = 0,
  x = 80,
  y = 64,
  width = 16,
  height = 32,
  pattern = "46",
}

tile{
  layer = 0,
  x = 96,
  y = 64,
  width = 48,
  height = 8,
  pattern = "47",
}

tile{
  layer = 0,
  x = 144,
  y = 64,
  width = 16,
  height = 16,
  pattern = "49",
}

tile{
  layer = 0,
  x = 16,
  y = 0,
  width = 16,
  height = 128,
  pattern = "42",
}

tile{
  layer = 0,
  x = 48,
  y = 0,
  width = 272,
  height = 64,
  pattern = "42",
}

tile{
  layer = 0,
  x = 160,
  y = 80,
  width = 16,
  height = 16,
  pattern = "49",
}

tile{
  layer = 0,
  x = 176,
  y = 96,
  width = 16,
  height = 8,
  pattern = "45",
}

tile{
  layer = 0,
  x = 192,
  y = 96,
  width = 16,
  height = 32,
  pattern = "46",
}

tile{
  layer = 0,
  x = 208,
  y = 96,
  width = 112,
  height = 8,
  pattern = "47",
}

tile{
  layer = 0,
  x = 160,
  y = 64,
  width = 160,
  height = 16,
  pattern = "42",
}

tile{
  layer = 0,
  x = 176,
  y = 80,
  width = 144,
  height = 16,
  pattern = "42",
}

tile{
  layer = 0,
  x = 32,
  y = 0,
  width = 16,
  height = 80,
  pattern = "42",
}

tile{
  layer = 0,
  x = 376,
  y = 192,
  width = 16,
  height = 16,
  pattern = "1",
}

destination{
  name = "from_outside",
  layer = 0,
  x = 24,
  y = 205,
  direction = 0,
}

separator{
  layer = 0,
  x = 312,
  y = -8,
  width = 16,
  height = 272,
}

teletransporter{
  layer = 0,
  x = 624,
  y = 96,
  width = 16,
  height = 112,
  destination_map = "dungeons/10/1f",
  destination = "entrance",
}

destination{
  name = "from_dungeon",
  layer = 0,
  x = 616,
  y = 205,
  direction = 2,
}

